201208172_T-13-40-49_Dive_01_074.jpg
x,y,label
393,163,6
89,161,6
147,531,4
391,494,4
70,817,4
366,682,4
215,944,6
218,1215,6
362,1321,6
208,1392,6
478,73,6
552,104,6
553,328,6
630,612,4
759,653,4
808,720,4
595,1106,6
791,1090,6
703,1274,6
425,1336,6
977,190,2
1032,284,4
1091,428,4
922,519,4
959,808,4
1034,886,4
882,1145,6
911,1134,6
1071,1255,4
825,1465,6
1293,186,4
1594,172,4
1368,371,4
1517,558,3
1379,704,6
1429,729,6
1297,1152,4
1402,1172,7
1556,1233,2
1387,1441,4
1989,229,6
1653,20,4
1999,602,6
1722,453,6
1636,785,6
1642,842,6
1904,1119,6
1847,930,6
1874,1347,4
2003,1465,1
