201208172_T-14-10-49_Dive_01_105.jpg
x,y,label
396,154,4
252,237,7
232,415,4
106,402,7
10,634,7
123,865,7
101,1108,7
23,1168,7
354,1435,6
76,1285,6
565,296,7
811,36,4
567,330,4
511,400,4
702,646,2
697,893,4
678,1186,6
610,1049,7
772,1285,7
505,1382,6
1137,297,7
871,172,4
835,606,7
1129,331,7
1109,644,7
825,865,4
921,1173,7
1188,1129,2
1081,1456,6
1218,1465,6
1509,263,2
1488,129,4
1426,500,4
1599,526,6
1358,711,4
1489,773,4
1281,1153,2
1486,924,2
1570,1292,6
1245,1278,2
1747,128,7
1929,45,6
1836,329,6
1846,355,6
2033,756,6
1954,767,6
1633,1006,6
1797,1159,4
1957,1232,2
1857,1417,4
