201208172_T-15-10-03_Dive_01_150.jpg
x,y,label
140,296,6
277,180,6
249,575,6
364,434,6
112,668,6
161,726,6
178,974,6
409,1021,6
244,1384,6
364,1422,4
459,113,6
747,79,4
569,323,6
742,566,2
555,872,4
430,720,6
811,927,4
430,1130,6
466,1268,4
707,1392,4
1026,191,4
830,110,7
879,464,7
1086,414,4
1182,918,4
933,681,4
916,1157,4
1183,1176,4
1191,1445,7
847,1325,4
1501,15,7
1404,41,4
1383,483,4
1417,325,4
1548,891,6
1601,644,7
1531,1064,7
1580,1164,7
1569,1316,2
1624,1455,7
1894,246,4
1724,45,4
1880,544,6
1845,400,7
1889,750,7
1944,667,7
1686,1216,7
1639,1072,7
1943,1405,7
1902,1520,7
