201208172_T-13-21-17_Dive_01_068.jpg
x,y,label
65,171,6
38,107,6
282,323,4
239,316,7
78,873,6
399,790,6
138,1062,6
329,934,6
392,1227,4
15,1249,6
698,311,7
611,141,6
794,497,4
737,484,4
486,852,3
739,647,4
778,999,4
606,1197,4
538,1397,4
788,1264,1
1224,311,4
1158,208,2
843,401,4
1021,364,4
1220,858,4
910,745,4
1111,1008,4
1136,1067,2
1076,1481,1
1126,1434,1
1511,27,3
1260,82,3
1516,385,3
1234,416,4
1580,713,3
1253,911,4
1414,960,4
1233,1165,4
1509,1456,4
1367,1390,4
1982,127,7
1964,175,4
1782,490,4
1900,564,4
1767,828,4
1950,641,4
1943,1100,6
1858,1123,4
1760,1359,2
1638,1298,4
