201208172_T-13-53-25_Dive_01_098.jpg
x,y,label
382,225,0
157,143,0
98,531,0
53,367,0
160,754,0
166,911,2
182,1153,4
161,1221,3
19,1504,4
342,1485,6
656,194,4
795,14,6
556,390,4
422,400,0
698,862,4
585,887,4
765,1137,6
603,1200,6
536,1504,6
622,1455,4
1098,269,1
1191,24,2
1173,568,6
1022,492,6
1129,659,6
1003,717,7
868,947,7
939,1201,4
951,1398,6
1026,1251,4
1371,198,0
1486,268,0
1439,532,6
1311,321,0
1540,628,6
1249,686,7
1593,965,4
1493,1141,2
1463,1479,4
1238,1321,6
1750,110,4
1874,111,7
1737,361,4
2037,428,4
1932,874,4
1701,916,4
1808,1190,4
1940,1147,4
1755,1394,4
1643,1383,2
